season,episode,queen_name,outcome
1,1,BeBe Zahara Benet,SAFE
1,2,BeBe Zahara Benet,SAFE
1,3,BeBe Zahara Benet,WIN
1,4,BeBe Zahara Benet,SAFE
1,5,BeBe Zahara Benet,BTM
1,6,BeBe Zahara Benet,WIN
1,7,BeBe Zahara Benet,Winner
1,8,BeBe Zahara Benet,Guest
1,1,Nina Flowers,WIN
1,2,Nina Flowers,SAFE
1,3,Nina Flowers,SAFE
1,4,Nina Flowers,SAFE
1,5,Nina Flowers,SAFE
1,6,Nina Flowers,SAFE
1,7,Nina Flowers,Runner-up
1,8,Nina Flowers,Miss C
1,1,Rebecca Glasscock,SAFE
1,2,Rebecca Glasscock,SAFE
1,3,Rebecca Glasscock,SAFE
1,4,Rebecca Glasscock,BTM
1,5,Rebecca Glasscock,WIN
1,6,Rebecca Glasscock,BTM
1,7,Rebecca Glasscock,Eliminated
1,8,Rebecca Glasscock,Guest
1,1,Shannel,SAFE
1,2,Shannel,SAFE
1,3,Shannel,BTM
1,4,Shannel,SAFE
1,5,Shannel,SAFE
1,6,Shannel,ELIM
1,8,Shannel,Guest
1,1,Ongina,SAFE
1,2,Ongina,WIN
1,3,Ongina,SAFE
1,4,Ongina,WIN
1,5,Ongina,ELIM
1,7,Ongina,Guest
1,1,Jade,SAFE
1,2,Jade,SAFE
1,3,Jade,SAFE
1,4,Jade,ELIM
1,6,Jade,Guest
1,1,Akashia,BTM
1,2,Akashia,BTM
1,3,Akashia,ELIM
1,5,Akashia,Guest
1,1,Tammie Brown,SAFE
1,2,Tammie Brown,ELIM
1,4,Tammie Brown,Guest
1,1,"Victoria ""Porkchop"" Parker",ELIM
1,3,"Victoria ""Porkchop"" Parker",Guest
2,1,Tyra Sanchez,SAFE
2,2,Tyra Sanchez,SAFE
2,3,Tyra Sanchez,WIN
2,4,Tyra Sanchez,SAFE
2,5,Tyra Sanchez,WIN
2,6,Tyra Sanchez,SAFE
2,7,Tyra Sanchez,SAFE
2,8,Tyra Sanchez,SAFE
2,9,Tyra Sanchez,WIN
2,10,Tyra Sanchez,Winner
2,11,Tyra Sanchez,Guest
2,1,Raven,SAFE
2,2,Raven,BTM
2,3,Raven,BTM
2,4,Raven,SAFE
2,5,Raven,SAFE
2,6,Raven,SAFE
2,7,Raven,WIN
2,8,Raven,WIN
2,9,Raven,SAFE
2,10,Raven,Runner-up
2,11,Raven,Guest
2,1,Jujubee,SAFE
2,2,Jujubee,SAFE
2,3,Jujubee,SAFE
2,4,Jujubee,SAFE
2,5,Jujubee,SAFE
2,6,Jujubee,BTM
2,7,Jujubee,SAFE
2,8,Jujubee,BTM
2,9,Jujubee,BTM
2,10,Jujubee,Eliminated
2,11,Jujubee,Guest
2,1,Tatiana,SAFE
2,2,Tatiana,SAFE
2,3,Tatiana,SAFE
2,4,Tatiana,WIN
2,5,Tatiana,SAFE
