contestant,age,outcome,season,series,city
BeBe Zahara Benet,28,Winner,1,Rupaul's Drag Race,"Minneapolis, Minnesota"
Nina Flowers,34,Runner-up,1,Rupaul's Drag Race,"Denver, Colorado"
Rebecca Glasscock,26,3rd place,1,Rupaul's Drag Race,"Fort Lauderdale, Florida"
Shannel,29,4th place,1,Rupaul's Drag Race,"Las Vegas, Nevada"
Ongina,26,5th place,1,Rupaul's Drag Race,"Los Angeles, California"
Jade,25,6th place,1,Rupaul's Drag Race,"Chicago, Illinois"
Akashia,24,7th place,1,Rupaul's Drag Race,"Cleveland, Ohio"
Tammie Brown,26,8th place,1,Rupaul's Drag Race,"Long Beach, California"
"Victoria ""Porkchop"" Parker",39,9th place,1,Rupaul's Drag Race,"Raleigh, North Carolina"
Tyra Sanchez,21,Winner,2,Rupaul's Drag Race,"Orlando, Florida"
Raven,30,Runner-up,2,Rupaul's Drag Race,"Riverside, California"
Jujubee,25,3rd place,2,Rupaul's Drag Race,"Boston, Massachusetts"
Tatianna,21,4th place,2,Rupaul's Drag Race,"Falls Church, Virginia"
Pandora Boxx,37,5th place,2,Rupaul's Drag Race,"Rochester, New York"
Jessica Wild,29,6th place,2,Rupaul's Drag Race,"San Juan, Puerto Rico"
Sahara Davenport,25,7th place,2,Rupaul's Drag Race,"New York City, New York"
Morgan McMichaels,28,8th place,2,Rupaul's Drag Race,"Mira Loma, California"
Sonique,26,9th place,2,Rupaul's Drag Race,"Atlanta, Georgia"
Mystique Summers Madison,25,10th place,2,Rupaul's Drag Race,"Bedford, Texas"
Nicole Paige Brooks,36,11th place,2,Rupaul's Drag Race,"Atlanta, Georgia"
Shangela Laquifa Wadley,28,12th place,2,Rupaul's Drag Race,"Paris, Texas"
Raja,36,Winner,3,Rupaul's Drag Race,"Los Angeles, California"
Manila Luzon,28,Runner-up,3,Rupaul's Drag Race,"Brooklyn, New York"
Alexis Mateo,30,3rd place,3,Rupaul's Drag Race,"St. Petersburg, Florida"
Yara Sofia,26,4th place,3,Rupaul's Drag Race,"Manatí, Puerto Rico"
Carmen Carrera,25,5th place,3,Rupaul's Drag Race,"Elmwood Park, New Jersey"
Shangela,28,6th place,3,Rupaul's Drag Race,"Studio City, California"
Delta Work,34,7th place,3,Rupaul's Drag Race,"Norwalk, California"
Stacy Layne Matthews,25,8th place,3,Rupaul's Drag Race,"Raynham, North Carolina"
Mariah,29,9th place,3,Rupaul's Drag Race,"Atlanta, Georgia"
India Ferrah,23,10th place,3,Rupaul's Drag Race,"Dayton, Ohio"
Mimi Imfurst,26,11th place,3,Rupaul's Drag Race,"New York City, New York"
